R238726,R176578
R674399,R591376
R346542,R607477
R385387,R146162
R947472,R229188
R444171,R151868
R511274,R576980
R141264,R636139
R282652,R151552
R738565,R430671
R181464,R207314
R505777,R764514
R823340,R520302
R773060,R797308
R446305,R250989
R978758,R961450
R581305,R480423
R461670,R786526
R125745,R567738
R721027,R403920
R178976,R564827
R755937,R824366
R305290,R316138
R743310,R631324
R444251,R441018
R182032,R509317
R613354,R716878
R117379,R527687
R933437,R271097
R533463,R241884
R291088,R341841
R238501,R399915
R625749,R433628
R170980,R224877
R312746,R103467
R437624,R596371
R540418,R175996
R900191,R355413
R982839,R625474
R437985,R475170
R272839,R830777
R757367,R864716
R432086,R751175
R560454,R984064
R475622,R995217
R189800,R196326
R790361,R826997
R447161,R797481
R111471,R742071
R621192,R177917
R176384,R124579
R846608,R592826
R495051,R472202
R259140,R929257
R927202,R343251
R850048,R421066
R772302,R627667
R921349,R743329
R198657,R696725
R644744,R301505
R324462,R968393
R242618,R746280
R744183,R430039
R549051,R586783
R625577,R499785
R614292,R853479
R705144,R644338
R383634,R222747
R557087,R226821
R571193,R322633
R144962,R429362
R483063,R762557
R115963,R406462
R881308,R906757
R664397,R633485
R527478,R551076
R226352,R241289
R305074,R401704
R617488,R113231
R864338,R304902
R404456,R636032
R420167,R573827
R323503,R952790
R212465,R773103
R682388,R548000
R596784,R234328
R567855,R972768
R134302,R391347
R685458,R292107
R573420,R154360
R979521,R693743
R422961,R260137
R265827,R401989
R831763,R363887
R470838,R670934
R467697,R760385
R581161,R274230
R398738,R959524
R141467,R155273
R264879,R558335
R837131,R869185
R640272,R714212
R540916,R355747
R569877,R306749
R943735,R110504
R384655,R497795
R721831,R209449
R439544,R149804
R515790,R855953
R857721,R370138
R302738,R829110
R597249,R141944
R331898,R748370
R881532,R400391
R157922,R516778
R188284,R690178
R928197,R450277
R296562,R934759
R969374,R301097
R150276,R811944
R485391,R522124
R166706,R378252
R541481,R924355
R684603,R147054
R183577,R866936
R936711,R532058
R742031,R704928
R301046,R875076
R404836,R683623
R293960,R738964
R140768,R433847
R657034,R374706
R978700,R815081
R925640,R954119
R667295,R515089
R682843,R333755
R631867,R240155
R929669,R610675
R173186,R288513
R839980,R460765
R256631,R128672
R613139,R606418
R756146,R238375
R987145,R434313
R202209,R158034
R975754,R672803
R281684,R401912
R904858,R231909
R800819,R135550
R284638,R229150
R897327,R279041
R868273,R688776
R631715,R282639
R143655,R751721
R668215,R749080
R310298,R284010
R574916,R926290
R198406,R845353
R382696,R913227
R697651,R270954
R740395,R696972
R390610,R731986
R427533,R594862
R516057,R733557
R613852,R252141
R246418,R707792
R858579,R737788
R265561,R288260
R984175,R313502
R946133,R322736
R572204,R855761
R529121,R356650
R585471,R265199
R840879,R215510
R245616,R980768
R124187,R579804
R923252,R615809
R981931,R609673
R569724,R947584
R798980,R359024
R772536,R298088
R858093,R499132
R700602,R795508
R314120,R482861
R474176,R503604
R310302,R500126
R425755,R130437
R363018,R423885
R879875,R312068
R623795,R490209
R453261,R868561
R100366,R747263
R539100,R705087
R457240,R852023
R857332,R898531
R980637,R357716
R293006,R551533
R503848,R662110
R772983,R890855
R854976,R285268
R657421,R157162
R684349,R562450
R277610,R474077
R109751,R432517
R374264,R294726
R963273,R899867
R225936,R285224
R217488,R361077
R876908,R151408
R280355,R807614
R962901,R472682
R602755,R909367
R428135,R958772
R285547,R489698
R871476,R253432
R788884,R157100
R389836,R311170
R575472,R686528
R265443,R564217
R230216,R839777
R521110,R690538
R635639,R869230
R975324,R564985
R338819,R508526
R927430,R439741
R133615,R304445
R642729,R947850
R680233,R287386
R412755,R496645
R633467,R927338
R690879,R964942
R105633,R265962
R457489,R273248
R967577,R594356
R414003,R109272
R202369,R922003
R302290,R798325
R169626,R180594
R956657,R635191
R485188,R884039
R814003,R520819
R878641,R925851
R979925,R440601
R771035,R599012
R970030,R782931
R409455,R398635
R186449,R121307
R545740,R673270
R475952,R727289
R764229,R371416
R715779,R936167
R534444,R324800
R871406,R449738
R938112,R460757
R217505,R894408
R605499,R350754
R438090,R981396
R174543,R152873
R259940,R325484
R531294,R372296
R160684,R144616
R180086,R650322
R935863,R645436
R918989,R612871
R403728,R419452
R412146,R778775
R178113,R811897
R390228,R871564
R643559,R429028
R405930,R810204
R143692,R986128
R374239,R446542
R111810,R520852
R737920,R898340
R276163,R774784
R641356,R105859
R390331,R259368
R603778,R949262
R579215,R364255
R144147,R786672
R363791,R977996
R210953,R267582
R951771,R281189
R717457,R823950
R202759,R274734
R811692,R666762
R850044,R226319
R581302,R457893
R510394,R175306
R662047,R470420
